ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin
100001,AI,Photography,Writing,Female,AI Ethics Specialist,USA
100002,Biomedical Engineering,Dance,Drawing,Male,Biomedical Research,Canada
100003,Civil Engineering,Wood Working,Hiking,Female,Structural Engineer,UK
100004,Climate and Sustainability Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Australia
100005,Computational Mechanics and Scientific Computing,Mountain Biking,Photography,Female,High-Performance Computing Specialist,Germany
100006,Cybersecurity,Web Design,Video Gaming,Male,Cybersecurity Analyst,France
100007,Design and Technology Innovation,Drawing,Digital Art,Female,Product Design Engineer,Japan
100008,Electrical and Computer Engineering,Video Gaming,Computer Programming,Male,Software Development,South Korea
100009,Environmental Engineering,Gardening,Hiking,Female,Environmental Engineer,Brazil
100010,Financial Technology,Music,Photography,Male,Other,India
100011,Design and Technology Innovation,Writing,Crochet,Non-Binary,Clinical Psychology,Mexico
100012,Climate and Sustainability Engineering,Hunting,Entrepreneurship,Non-Binary,Cybersecurity Analyst,Russia
100013,Mechanical Engineering,Entrepreneurship,Other,Male,Renewable Energy Engineer,Germany
100014,Photonics and Optical Sciences,Acting,Jewelry Design,Male,Social Work,United States
100015,Game Design Development and Innovation,Toy,Weaving,Non-Binary,Security Consultant,Brazil
100016,Photonics and Optical Sciences,Exercise,Music,Female,Biomechanical Engineer,Brazil
100017,Financial Technology,Gardening,Web Design,Non-Binary,Clinical Engineer,Nigeria
100018,Computational Mechanics and Scientific Computing,Metalworking,Judo,Male,Computer Vision Engineer,China
100019,Civil Engineering,Cooking,Web Design,Male,Pharmaceutical Engineer,Brazil
100020,Design and Technology Innovation,Other,Archery,Male,Electrical Engineering,Brazil
100021,Mechanical Engineering,Dance,Exercise,Male,Renewable Energy Engineer,Australia
100022,Game Design Development and Innovation,Hiking,Video Gaming,Male,Climate Change Analyst,Australia
100023,Game Design Development and Innovation,Wood Working,Winemaking,Male,Cryptographer,Switzerland
100024,Biomedical Engineering,Model Building,Weaving,Male,Sustainable Building Design Engineer,Turkey
100025,Photonics and Optical Sciences,Backpacking,Jewelry Design,Female,Philosophical Research,Italy
100026,Computational Mechanics and Scientific Computing,Pottery,Embroidery,Male,User Experience (UX) Designer,Italy
100027,Environmental Engineering,Winemaking,Embroidery,Female,Music Production,Japan
100028,Game Design Development and Innovation,Running,Shopping,Male,Water Resources Engineer,India
100029,Photonics and Optical Sciences,Snowboarding,Soccer,Female,Climate Change Analyst,Turkey
100030,AI,Snowboarding,Embroidery,Male,AI/Machine Learning Engineer,Brazil
100031,Civil Engineering,Wood Working,Video Gaming,Male,Artistic Direction,Italy
100032,Risk Engineering,Chess,Cooking,Male,Water Resources Engineer,Netherlands
100033,Computational Mechanics and Scientific Computing,Beekeeping,Embroidery,Female,Transportation Engineer,China
100034,Risk Engineering,Writing,Pottery,Female,Clinical Engineer,Brazil
100035,Risk Engineering,Running,Basketball,Non-Binary,Finite Element Analyst,Mexico
100036,AI,Video Gaming,Writing,Male,Data Scientist,United States
100037,Biomedical Engineering,Photography,Cooking,Female,Biomedical Research,Canada
100038,Civil Engineering,Hiking,Drawing,Male,Structural Engineer,United Kingdom
100039,Climate and Sustainability Eng.,Gardening,Knitting,Female,Environmental Advocate,Australia
100040,Computational Mechanics & Sci.,Mountain Biking,Pottery,Male,Computational Fluid Dynamics Eng.,Germany
100041,Cybersecurity,Chess,Scuba Diving,Female,Cybersecurity Analyst,France
100042,Design and Technology Innovation,Wood Working,Jewelry Design,Male,Product Design Engineer,Japan
100043,Electrical and Computer Eng.,Basketball,Digital Art,Female,AI/Machine Learning Engineer,South Korea
100044,Environmental Engineering,Backpacking,Cooking,Male,Renewable Energy Engineer,Brazil
100045,Financial Technology,Snowboarding,Music,Female,Financial Technology,China
100046,Game Design Development & Innov.,Video Gaming,Drawing,Male,Video Game Designer,United States
100047,Materials Science and Engineering,Cooking,Photography,Female,Materials Science Research,Canada
100048,Mechanical Engineering,Soccer,Running,Male,Mechanical Engineer,United Kingdom
100049,Medical Technology Design,Photography,Hiking,Female,Biomedical Device Engineer,Australia
100050,Photonics and Optical Sciences,Chess,Reading,Male,Photonics Engineer,Germany
100051,Risk Engineering,Basketball,Music,Female,Risk Engineer,France
100052,AI,Writing,Video Gaming,Male,AI Ethics Specialist,Japan
